,Transcription,Emotion
7895,Don't ask me to have somebody else come over here and move you myself.  I can't come back over there.  I'll get security if you need me to.,fru
7896,"Please, I don't think that's necessary.  I'm just asking, maybe you could call over and say that somebody miss informed her because I didn't pick to stand in this line.  I asked them where to stand, and they told me here.",fru
7897,"what, no, I'm sure they did not tell you here.",fru
7898,"No, they did.  The lady over there told me to stand in this line and I've been here for an hour.",fru
7899,"what The lady, what? the janitor?",fru
7900,No.,fru
7901,"You asked the janitor what line to stand in?  Obviously, that's not going to be the right thing.",xxx
7902,"No, I'm not, I'm sorry.I'm not stupid.",fru
7903,"I'm not saying that you're stupid, ma'am.  I think you just said that you were stupid.",fru
7904,Isn't there anything you can do?  Just call over and ask them if I can go to the front of the line in the other line.,ang
7905,"It doesn't work that way here, ma'am.",fru
7906,Why not?,ang
7907,There is a strict system here.  You need to wait in the right line for the right thing.  This is the line for registration.,fru
7908,"Except they're going tell, are you going to tell me the right line to stand in this time at least?",fru
7909,I told you it was line two A.,fru
7910,"Right, well, last time they told me, it was this line, and obviously, it's not true.",ang
7911,I don't know who told you that but they were wrong.  I'm sorry.,fru
7912,Do you have a manager I could speak with?,fru
7913,I am the manager.,xxx
7914,Are you being straight with me?,fru
7915,"I'm being very straight with you, ma'am.  There is nothing I can do for you.  You need to stand in line two A.",fru
7916,Fine.,fru
7917,Thank you very much.  You have a wonderful day.,xxx
7918,"baby, I need you to sit down.",xxx
7919,What is it?,neu
7920,um.,sad
7921,You can say it.,xxx
7922,I'm sorry.  It's just a lot ahh to explain. ahh I got a call--,sad
7923,Are you all right?,xxx
7924,"Yeah, um everything's fine so far. um",xxx
7925,"I got a call today,",sad
7926,okay.,xxx
7927,I'm going to need to go overseas for a while.,sad
7928,You got called up.,ang
7929,Iraq.,fea
7930,I thought you said this wasn't going to happen for at least a year.,ang
7931,"I'm sorry.  I thought so. ""sigh""",xxx
7932,What am I going to do?,fru
7933,"I don't know ""sigh"".",sad
7934,I can't do this by myself. I I don't know how to do this.  You know how to do this.,xxx
7935,The kids-,fru
7936,I know.  I know.,sad
7937,Nobody's even here.  Your parents live on the other side of the country.,xxx
7938,"I know.  Well, we'll have to figure all that out.  I mean, I think the Army's going to provide childcare and help us out with that. um.",sad
7939,Where do you have to go?  Where are you going?,ang
7940,Iraq.,sad
7941,What are you going to do there?  Is it going to be dangerous?  What are you-?,xxx
7942,I think infantry.  I'm not sure.,sad
7943,It's--,xxx
7944,Can we do something else?  Can you tell them that you just had two kids?,xxx
7945,"It's going to be at least six months, probably a year. I tried.",fru
7946,I don't understand why they would just do something like this?,ang
7947,"I know, I know.  It's really, really messed up.",fru
7948,It doesn't make any sense.  It's stupid.  I told you you shouldn't go in the Army.,ang
7949,"Believe me, if I had a choice, I wouldn't have chosen this.",xxx
7950,I don't know I don't know what I'm going to do.  I don't know how to-,fru
7951,"You don't know how to what?  You'll be fine. I mean, you're a great parent. I know.",xxx
7952,"They're six months old. Six months old, they're tiny.",xxx
7953,I can't do this.  I've never done this before.  I don't know anything about this.,xxx
7954,"Well, maybe you should move in with my mom and she can help.",fru
7955,"Your Your mom, you want me to move in with your mom?",sur
7956,"I don't know, I'm just--I'm trying to think of something.",fru
7957,She doesn't even like me.  She's never liked me. No.,xxx
7958,"She likes you. Of course, she likes you.",xxx
7959,She likes you.  She likes the kids.,xxx
7960,"I no I can't- ""sigh""",xxx
7961,You can't what?,fru
7962,I can't let you go.  I can't let you go.  I'll call them.  I'll say something.  I'll do anything.  I'll tell them something different.,xxx
7963,I don't think there's anything we can do.,sad
7964,I'll tell them I'm sick and that you can't leave something.,sad
7965,"Well, we can try it.  Baby, don't beg me.  I mean, if there were anything that I could do, I would do it.  Believe me.  This is not what I want.",xxx
7966,It's not fair.,sad
7967,I know.  I know it's not fair.,sad
7968,Why has to be you?  There's all those other people.  Somebody else can go instead.  It's not right.,sad
7969,"Well, apparently nobody else can go.",sad
7970,What are you going to do that's any different than anybody else?,xxx
7971,"I don't know.  Baby, why are you asking me this?  It's just as hard for me.  Please, try to understand that.",fru
7972,"I don't know.  It's not me, so I'm the one who has to stay here.  I'm the one who has to take care of them, and I don't have-I don't have anybody else.  You're all I have.",xxx
7973,"I understand, baby.  I'm sorry. I mean try to understand I'm I'm scared myself.",fru
7974,I understand.  I'm worried about you.  I don't know what's going to happen to you.,sad
7975,I know.,sad
7976,Iraq of all-come on.  People die every day.,xxx
7977,I know.,sad
7978,I jus-,sad
7979,We'll figure something out.  We just have to ... we just have to think about this.  Could any of your family help us?,sad
7980,I don't know.,sad
7981,Maybe we should call your parents.,xxx
7982,Yeah.  I guess.  I don't know what they're going to say.,sad
7983,"Yeah, we'll call them.  We'll figure something out.  I'm sorry, I'm sorry, I'm sorry.  You're right.",sad
7984,I'm going to miss their first words.,sad
7985,I know.,sad
7986,You'll have to send me pictures and letters everyday.,sad
7987,"All the time, every day, every day.  They have e-mail over there and stuff like that, right? I can send you pictures.",sad
7988,I don't know. I hope so.,xxx
7989,You have to call me all the time whenever you can.  You have to tell me what you're doing and how you're doing.  Okay?,xxx
7990,"Yeah, as much as I can.",sad
7991,How long do we have?  When do you leave?,xxx
7992,"""sigh"" Three weeks.",sad
7993,Three weeks?,sur
7994,Yeah.,sad
7995,"I don't Okay.  Okay, we can do this.  We can do this.  It's okay.  We'll make it work.",xxx
7996,Yeah.,sad
7997,I love you.,sad
7998,"I love you.  I'm going to miss you so much. ""sigh""",sad
7999,"Okay, so big news.",exc
8000,What?,exc
8001,"Come on, what?",exc
8002,I'm getting married.,exc
8003,Shut up.,sur
8004,Yeah.,exc
8005,No way.,exc
8006,Yeah.,exc
8007,He asked you?,xxx
8008,Uh-huh.,exc
8009,"No way, when? when,when, When did it happen?",exc
8010,Just a couple days ago.,exc
8011,Oh my gosh.,exc
8012,[LAUGHTER],xxx
8013,And you actually said yes.  I can't believe it.  I never thought you would get married.,exc
8014,I know me neither.,exc
8015,Oh my gosh.,exc
8016,"Right, I thought I would be way older too. I thought I would be I be at least thirty something.",exc
8017,Oh absolutely.,exc
8018,"Well, we always said we'd be in our thirtieth when we got married. And we were going to get married to each other if we didn't by then",exc
8019,Yeah.,exc
8020,"I know, right. What'd we say, when we were thirty nine?",xxx
8021,"Thirty nine, yeah.  I can't believe it.  So you broke our pact. Thanks a lot.",exc
8022,Sorry.,exc
8023,"Thanks a lot.  Well, okay, you've got to tell me the details.  What did he say?  Where was it?  What happened?",exc
8024,"Um, Well, uh, I don't-I don't know how much planning he had done.",xxx
8025,"Okay.  That's okay, spontaneous is great.  Spontaneous is awesome.",exc
8026,It was really beautiful.,xxx
8027,You've got to love that.,xxx
8028,"Yeah, we went to a really great jazz show, and um-",xxx
8029,"Nice, you love the jazz.",xxx
8030,"Yeah, and after, we went up to this um, this place like a restaurant on the roof kind of thing.",xxx
8031,"Oh, okay, yeah.",xxx
8032,So you know like late dinner and champagne and what not.,xxx
8033,Were you in Chicago?,xxx
8034,Mm-hmm.,xxx
8035,"Downtown, was it beautiful? of course it was beautiful",xxx
8036,"so beautiful, full moon.",xxx
8037,"What a guy.  I can't believe it.  So okay, so do you know any details?  When's it going to be?  Anything?",xxx
8038,I don't know.  I guess next summer.,xxx
8039,Am I in it?,exc
8040,"Yeah.  Yeah, of course.",exc
8041,"Okay, I certainly hope so, of course.",xxx
8042,So next fall I guess.,xxx
8043,Next fall.,xxx
8044,"Yeah, I like the autumn.",xxx
8045,Are you going to do it in town or are you out of town?,xxx
8046,"oh, We'll do it in town.",xxx
8047,"Oh, okay.",xxx
8048,"Yeah, his family doesn't live too far away, so I think-",xxx
8049,"Yeah, where's he from again?",xxx
8050,He's from Chicago as well.,xxx
8051,"Oh he is, okay.",xxx
8052,Yeah.,xxx
8053,"Cool, perfect.  Another Chicagoite, got to love it.",exc
8054,"It's so weird too, right, that like you can grow up so near somebody and never know them until you travel hundreds of miles away.",hap
8055,"Exactly, yeah.  I can't believe you met him in Africa.",xxx
8056,I know,hap
8057,"And the chances, what are the chances of meeting somebody in Africa and then coming back to Chicago?",xxx
8058,"Right, being like oh, where are you from?  The U.S.  Where in the U.S.?  Chicago.  Where in Chicago?",hap
8059,[LAUGHTER] I am sil,hap
8060,"Knowing the neighborhood.  Yeah, it's pretty bizarre.",hap
8061,And now you're getting married.,exc
8062,Yeah.,hap
8063,That is amazing.  You must be so excited.  Did you tell your mom?,exc
8064,Mm-hmm.,hap
8065,"Oh, did she cry?",exc
8066,"Yeah, she loves him.",hap
8067,"I knew it.  I knew it, of course she does.  How could you not love Mr. Peace Corps worker man?  He's the nicest guy ever.",xxx
8068,"Yeah, she-yeah, that's my type.",hap
8069,[BREATHING],exc
8070,you.. I can't believe it.  I'm so happy for you.  This is exactly what you wanted.  It's your dream come true.,exc
8071,Thank you.,hap
8072,"The exact right guy, I fully approve.  He's a wonderful guy.  We have a great time.  He can drink.  That's awesome.",exc
8073,[LAUGHTER],hap
8074,[LAUGHTER],hap
8075,"Yeah, we all have to hang out now.",exc
8076,"Of course, of course she will ... of course she will.  Yeah, don't go and disappear like everyone else after they get married and I never see them again.  That'll make me mad.  You don't want to make me mad.  You know how I get when I get mad.",exc
8077,"I mean, I I have I have some duty to the man I was going to marry if nobody else came up.",xxx
8078,Exactly.,hap
8079,"Exactly, ""laugh"".",hap
8080,Sorry.,hap
8081,"ahh I was always worried you'd be a little bit jealous of me, but I was never quite that lucky.",xxx
8082,There's still time for that.,hap
8083,"Oh, thanks. move here before you get married [LAUGHTER]",exc
8084,[BREATHING],hap
8085,"Perfect, okay, good. ""sigh""",exc
8086,"I don't feel so bad then.  Well, I'm excited for you.",exc
8087,I know. I can't believe it.,exc
8088,I can't believe it.,exc
8089,I am very excited,exc
8090,Who else have you told?,xxx
8091,Just a few people.,xxx
8092,Really?,xxx
8093,Just close friends so far.,xxx
8094,So I was one of the first ones? That makes me feel so important.,hap
8095,I have to think about moving now.  We're going to move in together,hap
8096,"Oh yeah, of course.",exc
8097,I think it's a good idea to live together before you get married.,hap
8098,"I think so, too.  Are you going to get a house or-",exc
8099,"I don't want a house, I mean just-",hap
8100,No?,xxx
8101,L.A. apartment is fine.,hap
8102,"Oh, nice.",xxx
8103,yeah.,xxx
8104,A good apartment. [BREATHING],xxx
8105,"Two artists, though.  We're bound to be poor forever.",hap
8106,"Yeah, how are you going to survive?",xxx
8107,Exactly. Are you going to have kids?,xxx
8108,"Yeah, I think so.  I mean, not for a while.",xxx
8109,yeah.,hap
8110,yeah.,hap
8111,Definitely not for a while,hap
8112,yeah.,hap
8113,"So now, I'm going to have to find somebody else to bear my children.",xxx
8114,[LAUGHTER] Good luck.,hap
8115,[LAUGHTER],hap
8116,"Oh, thanks.  I'll need it.",hap
8117,"You won't have trouble, You won't have trouble.",hap
8118,"Oh thanks, you're too nice",hap
8119,just being polite now,hap
8120,"You should just approach her like that.  Hey, will you bear my children?",hap
8121,because I am not getting married.,hap
8122,"Exactly, [LAUGHTER] I think that'll go over great, don't you?",hap
8123,"Yeah, totally.",hap
8124,"That's what girls like, right?",hap
8125,Total turn on.,hap
8126,Would you mind popping out a few for me?,hap
8127,[LAUGHTER],hap
8128,"That'd be great, thanks.",hap
8129,"Brian, I need help.",sad
8130,"Babe, I don't know what to tell you.  Don't give up.",neu
8131,I don't--I'm just--I'm thinking maybe I should move back home or something.  I don't I don't know what to do.  I can't - I cant keep living the way I'm living.,xxx
8132,"Well, of course not, but what are you going to do if you move back home?  Are you going to be able to find a job there?",neu
8133,"I don't know.  I mean, what am I supposed to do? I've It's not for lack of effort.  I've been trying.",fru
8134,"I wish I had some answers for you, babe.  I mean-I don't know what to tell you.",fru
8135,How did you get a job?  What am I - What am I supposed to do?,fru
8136,I went to school and I got my degree.  And I got a job.,neu
8137,"I mean, I just don't--I don't know.  If you don't have a lot of qualification, where do you - where do you find work?  It's like L.A. is so frustrating because if you don't know somebody, you can't -you can't get a job.  It's impossible.  It's totally discriminatory.  You have to know somebody.",fru
8138,Nothing's impossible.,neu
8139,It's not fair.,fru
8140,You have to be willing - You have to be willing to start you know at the bottom and work your way up. and,neu
8141,That's fine.  I'd be willing to start anywhere.  I can't get a job.,fru
8142,I,fru
8143,"I mean, on six seven and five an hour does not - does not pay the bills I mean.",fru
8144,"No, it doesn't pay the bills, but it would pay something.  And it would help you get somewhere else.",neu
8145,I still can't live on in six seven and five.  It's not possible in Los Angeles.  Housing is too expensive.,ang
8146,"and No, I understand, but you've got to start somewhere.  It's better than nothing and that's all you have.  You have nothing right now.",neu
8147,"I mean I can do the McDonald's thing for a while as humiliating as that is, but I mean then what?  I mean You can't exactly move up in that kind of industry.",fru
8148,"Wait, You can move up.  There's management programs in McDonalds and things like that.",neu
8149,"Oh come on, that's not what I envisioned for myself. Honestly, would you settle for being a manager at McDonalds?",fru
8150,"[GARBAGE] No, I wouldn't, but I--",neu
8151,This is humiliating.,fru
8152,"Well, you know what?  Life gets humili... humiliating at times.",neu
8153,"No, I don't I don't want to accept that.  I think that's bullshit.",fru
8154,"Well, what are you going to do about it to make it different?",neu
8155,I don't know.  I feel like I've tried everything.,fru
8156,Have you?  There's got to be something else.,neu
8157,Three years of going out every day--every day--and looking for a job and being constantly denied everywhere I go.,fru
8158,"I don't know what to tell you, babe. Maybe- Maybe you're right.  Maybe you do have to go someplace else.  I don't know, maybe it's just not meant to be here.  I mean I want you to-I don't want you to give up, but I mean I don't want you to move away, but at the same time, I don't like seeing you like this.",fru
8159,I'm just so scared to start over I mean.  I put so much time and energy into being here.,sad
8160,"Where am I supposed to go?  I mean, like what?",sad
8161,"If it's rent or something like that, I mean I can help you out a little bit, if- if that will help you you know stick with it.",neu
8162,I don't know. Maybe I can take out a loan. I just- I need prospects and I don't feel like I have any.,sad
8163,"Well, just don't give up. And there's- you know, You never know, something might be around the corner tomorrow.",neu
8164,But that doesn't help me when I'm hungry now.,xxx
8165,"Well, you know I'm not going to let you starve.",neu
8166,I'm just worried.,sad
8167,"Of course, you're worried.  We're all worried.  I'm worried for you.  Everyone's always worried.  You know, I don't-maybe I have a job and yeah, it's a good job whatever and I'm happy, but it doesn't mean I'm going to have it tomorrow or the next day.  You never know what's going to happen.  Something crazy could happen tomorrow.	Something crazy can happen for you tomorrow and you'll get a job.  You never know.  You can walk up to somebody on the street and it'll be something great.  You've just got to be positive.  You're so negative all the time.",xxx
8168,It's three years.,fru
8169,"I understand, but you know what, you've been negative for three years.",fru
8170,Is that honestly what you think?,xxx
8171,"It's the way it seems to me.  You started complaining about not being able to find a job the first day you went out and didn't find a job.  And I'm not saying like and not trying to you know put you down or anything, it's just that-",neu
8172,That's really hard to hear.,sad
8173,"But it's true, babe.  You've got to be more positive about things.  Like- Have some faith in yourself.",fru
8174,I feel like I have faith and now faith is running thin because there is no money.,sad
8175,"Well, exactly.  Money is not everything.",neu
8176,"Brian, I don't think you have a concept of what I mean by- by money.  I don't mean money like oh, I can't go get my hair and my nails done today, I mean like I can't eat.",fru
8177,You can.,fru
8178,"No, no, really, if I can't pay to live somewhere, I'm going to end up living in my car.",xxx
8179,You know I would never let that happen.  I wouldn't let that happen.,neu
8180,I just-- I,fru
8181,"You can always stay with me if you- if you have to stay with me for a while and get yourself back up on your feet again.  You know I'm not just going to you know just throw you to the wolves or something like that.  If there's any way I can help you, I will.",neu
8182,"Well, thank you.",xxx
8183,But you have to keep trying.  You can't give up.,neu
8184,"Yeah, I don't intend to stop trying.  I just--I don't when is when enough is enough.",fru
8185,"And you've got to think--well, ask yourself why are they not hiring you?",neu
8186,I don't know.,fru
8187,I mean are you going in for interviews?,neu
8188,"Yeah, and I look nice and I'm you know--",fru
8189,Are you presenting-,neu
8190,charismatic.,fru
8191,putting your best foot forward? or you,neu
8192,"yah, to-totally, and I'm not--",fru
8193,"Do they seem to like you? I mean, Can you get any read from them?",neu
8194,"Yeah, I always think so, but I- I just feel like it's a lot of lip service everywhere I go.",fru
8195,Have you ever called them back and asked why you didn't get the job?,neu
8196,"Yeah, I follow up.",fru
8197,Do they give you any specifics as to why they didn't go with you?,neu
8198,It's just like- it's a matter of-,fru
8199,"not tall enough, not pretty enough, not--you know how this place is.",fru
8200,"Yeah, I understand. maybe What jobs are we talking about?",neu
8201,"I mean, anything.",fru
8202,Like- What's your ideal job?  What do you want to do?,neu
8203,"Well, I'd like to be a working actor.",neu
8204,Of course.,neu
8205,But um--,neu
8206,"Everyone wants to be a working actor, but they all work at something else.",neu
8207,Yeah.,neu
8208,So what's the something else?,neu
8209,"Bartending, catering.",neu
8210,"You can't get a catering gig?  Well, I can call some friends.  I- Well, I did call some friends before, but you went in once and then never went back.",neu
8211,Would you be willing to make some more calls on my behalf? I won't--I won't make you look bad.,sad
8212,If I- If you- Will you stick with it?,neu
8213,yeah.,neu
8214,"Okay.  Okay, I'll call some people.",neu
8215,Thank you.,neu
8216,"But you've got to keep looking for other stuff. You've got to do it on your own, too.  Okay?",neu
8217,"I will, I will.",neu
8218,"Yeah, thank you.",xxx
8219,You know I'll always help you.,neu
8220,"Hi,um- I think my baggage was lost, and I need to I guess file a claim or I don't know what.",neu
8221,"Okay, what flight were you on?",neu
8222,Um-Seventeen. Coming from --,neu
8223,On what airline?,neu
8224,It was Virgin Atlantic coming from London.,neu
8225,"From London, okay. Um- And you went through all your proper checkpoints?",neu
8226,"Yeah, I don't know where it was lost.  I was coming from Africa, so.",fru
8227,So you haven't seen your bags since Africa. You flew threw Heath Row to here.,neu
8228,Right.,neu
8229,Yeah.,neu
8230,"Okay.  Well, let me see here. I-",neu
8231,It seems like it went through Heath Row.  I see it here. uh-,neu
8232,That's good.,neu
8233,But uh- I don't see it here in the airport yet. uh,neu
8234,I'm not sure where it is.  We can absolutely keep an eye out for for it for you.,neu
8235,"Well, I can't leave without it. I mean, Could you find out?",neu
8236,"Well, I'm not a miracle worker.  I don't know what I can do for you.  I don't have the bag right here.",neu
8237,"Right, well can you get on the computer maybe and like track it down and see when it's going to get here?",fru
8238,"Well, as I told you, it left Heath Row and it seems to have arrived here.  But if you can't find it, then-are you sure you know what your bag looks like?",neu
8239,"Yes, sir, I know what my bag looks like.",fru
8240,"Okay, and what is that?  What kind of bag is it?",neu
8241,Um- It's a travel backpack.  It's green and gray.  It's got my name on it and my information.,neu
8242,And you couldn't find it?,fru
8243,"No, it didn't turn up at the baggage claim.",fru
8244,Are you sure?,neu
8245,I mean we've gone through all of this.  I've been to five people already who--,fru
8246,"Well, obviously, that wasn't me, so I'm going to have to ask you the same questions they asked you just so we can get to the same point.",fru
8247,Okay.,fru
8248,"All right?  Now, um- it's green, travel bag, you couldn't find it.  And was there something important in it that you need it?",neu
8249,"Yes, lots of really like -- sentimental value only, but--",fru
8250,Sentimental value.,neu
8251,--really important stuff.,xxx
8252,"Right.  Well, I don't know what to tell you. Um- What I can offer you is a fifty dollar voucher on your next flight.",neu
8253,"That's not going to cut it. Like, Really, I really need to get this bag back.",xxx
8254,"No, I understand. I mean. It's got to be tough all those sentimental things, but um- this is all I can do for you.",neu
8255,Does this happen often?  Do they--you just lose baggage and you just offer people money for it?,fru
8256,"Well, you know, sometimes that's--really, I mean what else could we do?",neu
8257,Uh- Not lose the baggage in the first place. I mean You're offering a service here. I paid so much money for that ticket.,ang
8258,"Well,",neu
8259,Obviously ma'am.,fru
8260,"I am sorry, ma'am.",fru
8261,"Let's- Let's just relax for a moment, ma'am.  You understand, obviously, we're going to do everything we can to keep all of your luggage here.",neu
8262,"Obviously, we're not trying to lose your luggage.  Do you really believe that we're trying to lose your luggage ma'am?",neu
8263,"No, but I mean like why can't- why can't you find it?  Where did it go?  Who lost it?",ang
8264,"Well, if I knew that, then I'd know where it was, wouldn't I?",xxx
8265,"Well, I just-I paid so much money for this ticket.  I feel like you guys should be able to get-to offer me more than a fifty dollar voucher.",ang
8266,"Well, we're talking about one bag.  You personally made it here, didn't you?",neu
8267,"Yeah, meaning I didn't die in a fiery plane crash.  How convenient, but um- I paid two thousand dollar to ride your airline, and I would really appreciate getting my bags there to my destination in one place.",ang
8268,That's what the cost of the ticket was for.,fru
8269,"Ma'am, international flights are not cheap and there's many reasons for that.  It does not have solely to do with your baggage or-",fru
8270,"Right, but part of the agreement is that I'm paying so that I can take myself and my belongings with me.",ang
8271,"Right. Yes, ma'am.",fru
8272,And that you're going to transport them safely from one place to another.,ang
8273,"Right, and also if you'll read the fine print of your agreement you'll see that while we do bear some responsibility for lost luggage, it is a fifty dollar voucher.",fru
8274,"That's all you can offer me? I mean, my the stuff in there is worth way more than fifty dollar.",ang
8275,"Well, I understand that.  Did you buy flight insurance?",neu
8276,No.,xxx
8277,"Well, my hands are really tied then.",neu
8278,Why do I need flight insurance?  Why don't you guys just guarantee that you're going to get the stuff that I leave with to my destination?,fru
8279,"Well, it's like any kind of insurance.  You don't-when you get it, then you get more. You know, Like if you--",neu
8280,"Right, but if I'm riding a bus, I don't need to buy luggage insurance that the backpack I take on is going to get to my destination with me.",fru
8281,"Well, of course not because you've got your backpack with you the whole time.  Now, if you--you said this was a travel bag.  Why weren't you carrying it on if it was so important?",neu
8282,Because they made me check it.  It's too heavy.,fru
8283,"Uh, so it was really heavy.",neu
8284,"So I would have carried it on, but they made me check it and then they lost it.",xxx
8285,"Well, you know what, it could still turn up, but until then I can offer you this fifty dollar voucher.",fru
8286,There's nothing else you can do?,fru
8287,"I'm sorry, ma'am, there's nothing else I can do.  My hands are really tied here.  I really wish there was something else I could do for you.",neu
8288,I don't believe that for a second.,ang
8289,Well I don't know why you wouldn't believe that.,neu
8290,"Obviously, I'm doing everything that I can here.",fru
8291,"No, I don't think you are. I mean If you were doing everything you could, you'd either give me more money or you'd figure out where my bag is.",xxx
8292,"Well, I have no way to give you more money.  I'm giving you as much money as I can, and figuring- as far as figuring out where you bag is-",neu
8293,What do you mean as you can?  Who makes up these rules?,ang
8294,makes up?,neu
8295,You're an autono- autonomous human being.  You could- You could go into the com-,ang
8296,"The airline makes these rules, mom ma'am.",neu
8297,You could go into the computer and- you know- print-,xxx
8298,I've gone into the computer.  I told you exactly what I can see in the computer that your luggage did arrive here.,xxx
8299,"So I'm just supposed to oh, well, oops, my luggage is gone and be fine with that and take your stinking fifty dollar voucher?",fru
8300,"Well, you can take my stinking fifty dollar voucher and go home and wait and see if your luggage turns up. And if it does, then we'll deliver it to you.",fru
8301,And you have no guarantee.,fru
8302,"I have no guarantee, absolutely not.",fru
8303,This is ridiculous.,fru
8304,How can I guarantee finding your luggage when it's lost?,fru
8305,"Uh- Because you guys lost it, so it should be your responsibility to find it, too.",fru
8306,"Right, well, when you're at home and you lose something, do you guarantee that you're going to find it later on?",fru
8307,"Oh, come on.  Would you cut it out?  This is ridiculous.",fru
8308,"Well, it sounds to me like you're being ridiculous",fru
8309,"No, I don't think I am.  I like have a whole bunch of stuff that means a lot to me, and I brought it you know from Africa.  It's not like I can just go back and get it whenever I want.",ang
8310,Right.,neu
8311,It's not like I can go to Kmart and buy another.,ang
8312,"I understand that, ma'am, but things get lost.  There's nothing I can do about that.  Things happen.  Accidents happen.",fru
8313,"And while I really would love to be able to hand you your bag right now, obviously I can't do that.",neu
8314,okay fine.,xxx
8315,So you'd like the fifty dollar voucher?,neu
8316,"Yeah, I'll take your fifty dollar voucher.",fru
8317,"Okay, just fill out these three forms, and um- you'll- we'll have that sent to you within the next three weeks and, of course, we'll definitely keep an eye out for your bag.",neu
8318,Thanks.,fru
8319,You have a wonderful day.,neu
8320,What's wrong Melissa?,xxx
8321,A good friend of mine passed away the other day.,sad
8322,"Oh no, I'm so sorry. What happened?",sad
8323,"Oh they had some pretty progressive cancer,",sad
8324,"metastasized and it was old and they knew that it wasn't looking good, but-",sad
8325,That's the worst.  I'm so sorry.  Did you know him well?,sad
8326,Yeah.  We were.  Pretty close.,sad
8327,[BREATHING],sad
8328,"I am so sorry,  It's-",sad
8329,It's the worst when they go like that. [GARBAGE] Was he young?,sad
8330,Kind of.,sad
8331,"It's hard to watch when it's painful for them, you know.",sad
8332,"Absolutely, absolutely.",sad
8333,It's the think,sad
8334,"I just, I don't know.",sad
8335,There's no reason for it.,sad
8336,I know.,sad
8337,And he could of...  He was pretty awesome,sad
8338,Yeah?  What'd he do?  What did they do?  How'd you know him?,sad
8339,"Uh,  We grew up together.",sad
8340,yeah.,sad
8341,"Is he an actor too, or-?",neu
8342,"Yeah, he kind of did a lot of things, but we acted together, sometimes.",sad
8343,"I feel really bad for his family, you know.",sad
8344,"Yes of course, of course.",sad
8345,"It must be really, really hard to lose a child.",sad
8346,Was he very close to his family?,neu
8347,"Yeah.  And they were really supportive, like through the whole process, but-",sad
8348,yeah.,neu
8349,[BREATHING],sad
8350,I can't imagine what his- what his parents are going through.,sad
8351,Of course not.  You have no idea what it's like to lose a kid.,sad
8352,"Yeah, I'm just going to miss him.",sad
8353,"Of course. If there's anything I can do, you just let me know.  Okay?",xxx
8354,Thank you.,sad
8355,Of course.,xxx
8356,Is there a funeral planned? or-,neu
8357,"Yeah, they're going to do some sort of memorial service or something.",sad
8358,"Cool, Well, If you want me to go with you, I will.",neu
8359,Thanks.,sad
8360,No problem.,neu
8361,"It's really bizarre, you know, when you know somebody really well, and then...",sad
8362,something happens and they die and it's like-,sad
8363,"really hard to imagine that like you're going to continue to live, and that person's just going to have stopped.",sad
8364,"Right, it just doesn't make any sense, it's not real.  It doesn't feel real.",sad
8365,yeah.,neu
8366,[BREATHING],sad
8367,"Do you know what, it's going to pass,eventually, I mean it'll never pass, it'll always be there, and you'll always remember and everything like that, but you know.  It'll get easier I guess.",neu
8368,yeah.,sad
8369,That's the best way to put it.,neu
8370,It's hard to say good-bye.,sad
8371,Absolutely.,neu
8372,[BREATHING],sad
8373,"Do you know what, if it was me that died, I'd really want you to be crying and being really upset too any way. So, I think you should definitely do this, because it's trying what it's supposed to be.",neu
8374,[LAUGHTER],xxx
8375,yeah yeah.,sad
8376,So guess what.,exc
8377,what,exc
8378,I got into college.,exc
8379,"Shut up.  What'd you get, where'd you get accepted to? please",exc
8380,U.S.C..,exc
8381,"Oh, sweet.",exc
8382,yeah.,exc
8383,So you're not going to leave me.,exc
8384,No.,exc
8385,"oh, good good good good good good.",exc
8386,I'll stay in town.,exc
8387,Are you going to live on campus?  Where are you going to live?,exc
8388,Uh- I don't know.,hap
8389,Uh! stay over here.  Like travel to school. because you are so close to me,exc
8390,"Well, I don't want to, I don't want to live with my mom.",neu
8391,"Okay, you're right, you're right, you're right,  right.  Maybe we should get a place together.",hap
8392,Whoa.  What an idea.  Where would you want to live?,exc
8393,That'll be awesome.,exc
8394,"I don't know.  Well.  I wouldn't mind living by the U.S.C. campus, you know, but I'm not going to go to school right now, so.",exc
8395,That's fine.  You don't have to go to school to live near U.S.C..,xxx
8396,I know.,xxx
8397,But I'd love to go all the US- all the U.S.C. parties and do all that crazy stuff with you.,exc
8398,Fair enough.,xxx
8399,"Whoa, this is going to be so much fun.",exc
8400,it is going to be so much fun. Yes.,exc
8401,Uh! I'm so happy that you're not going to go away.,exc
8402,"Thank you. I know, I'm really, really, really excited.",exc
8403,"Oh, I bet you're going to love it too.  You always wanted to go to U.S.C..",exc
8404,"I know they have a really, really great program for what I want to do.",exc
8405,"You're going to have so much fun.  And there's lo- tons of people, you're going to meet so many people, I'm going to meet so many people too, because we're going to be there together.",exc
8406,Can we for real live together?,exc
8407,"Sure, why not.  I don't know why not, I'm not doing anything I have no plans, I could live anywhere I want.",exc
8408,awesome.,exc
8409,So should we get a place near campus? or-,exc
8410,That'll be great. That'll be great.,exc
8411,"We should try to find, like, a party spot though, like you know where there's going to be a lot of parties, where there are cool people, though.  Do you know any people that might be out there?",exc
8412,okay.,exc
8413,not yet.,xxx
8414,"Yeah, me either.",exc
