avaliacao,twet,class_label
negative, shut up an turn on the tvs/music,-1
neutral, has d.c. thinking about summer with new nantucket service - sys-con media (pr) ,0
positive, excellent. you guys are the best,1
positive," although it wasn't totally the answer i was looking for, i appreciate the prompt response.",1
neutral, guess i'll wait another 24 hrs in hopes rate goes down &amp; is more reasonable. fingers crossed. cutting it close to my travel dates.,0
neutral, do you do any discounts for volunteer firefighters?,0
neutral," well, i fly into huntsville, al. but i'd take either nashville or birmingham too!",0
negative," if your confirming to me that the rate won't go down again looks like i can't fly jetblue this time around, can't afford that price",-1
negative, :/ he was trying to take stuff from the under the seat in front of him and bugging out throughout the flight. didn't feel safe.,-1
positive, oh yes! i hope you expand to other airports soon so i can fly you to see my family each year!!!!,1
negative, been a member since 2007. looking to travel next week 2/24-2/27. couldn't book right away due to all the snow; i'm in bos.,-1
positive, thanks jb!! this is why i 💙 you!,1
positive," but thank you! love, an anxious flyer.",1
positive, same exact flight too. love jetblue. really want to fly with ya'll. but that's a little pricey for basic (not mint). bos to sfo.,1
negative, i don't want to seem crazy! have already asked twice!,-1
neutral, flight i want to book was $320 one day; went to purchase next day &amp; price doubled to $737. inquiring on chance it may go down?,0
negative," sent an email more than 24 hours ago asking a few questions, still no response. need answers before (hopefully) flight booking problems flight...",-1
negative, all they said was delayed due to mechanical issues. i'm looking for something a little more specific.,-1
negative," if i'm about to get on a plane, i think i deserve to know what the mechanical issues are for the flight being delayed.",-1
negative, can you give me an update on flight 1684 mco-&gt;jfk? they're saying mechanical issues but will not disclose what they are...,-1
negative, walked from the gate to the just ask desk by gate 1 ,-1
negative, on flight 2416 to orlando...ridiculous that we had to wait for this high school band to board.  ?,-1
positive, offers hot tea and coffee...at the gate! you guys make me wonder why i have ever flown any other airlines! ☕✈👍,1
positive," awesome, thanks!",1
neutral, has d.c. thinking about summer with new nantucket service - digital journal ,0
negative," you service agents at mco are great, but their are not enough of them working right now!",-1
positive, keep going back and forth with being able to board and then not. but great agents in savannah!,1
negative," not to get into semantics here but ""by"" means ""within the extent or period of; during"" and it is still technically 2/19 ",-1
negative, is giving me false hope of ever getting home,-1
neutral," 1st flight of the morning, flying with a toddler. will the plane be heated to a comfortable temp before boarding starts. ",0
positive, that'd be nice! hoping to rack up enough miles to take a trip to seattle and enjoy a perfect latte in the city of coffee.,1
neutral," i want to enter the family pooling contest, it says ""by 2/19"" on the website, can i please enter still!",0
positive," vegas, san francisco, baltimore, san diego and philadelphia so far! i'm a very frequent business traveler.",1
neutral," and of course that was supposed to say logan, not login",0
positive, you reimbursed everyone on the flight a portion of their ticket. i still love jetblue! best american airline!,1
positive,  jetblue never disappoints !,1
neutral,"😢😢 rt“:  oh no! unfortunately, the code must be entered at the time of purchase in order to qualify for the points.”",0
neutral," quick question, to pay for a second bag, do i have to do it online or can i do it at the airport?",0
negative," not cool to announce a flight ""delay"" when everyone is checking in. a 4 hour delay bdl-dca with a staff offering  no help.",-1
neutral, hi. how do i claim points on a 1800-flowers order after i purchased? i totally forgot to put in the promo code.,0
negative, what's the hold up with flight 1553? boarding should've taken place 30 minutes ago.,-1
neutral, yes slc on 4/19,0
negative, now we are waiting over an half hr for the packages. what's wrong with you guys?? ,-1
neutral, how long ago can a trip have taken place for me to still get credit if i didn't apply my trueblue # when i booked?,0
positive, thanks for your help! ,1
neutral, i was able to access it by using the drop down instead of clicking on the tab.,0
negative, do your trueblue pages not work on chrome or safari? i keep getting blank pages when i lick on the trueblue tab on your site.,-1
positive,":  ahoy from a loyal  holder! when do you anticipate direct us flights to , ? ( )",1
negative, that is my point! they are only offering me a flight the next day and expect me to now pay for a hotel because they cancelled flightled.,-1
neutral, excited for my first flight w/ you today! it's delayed though- can you give me the 411? flight number 989 from boston to dc,0
neutral, what is the mosiac 800 #?,0
negative, i can probably find some of them. are the ticket  on there?,-1
negative," no they offered the flight (4/19), i paid, then they changed it.this is the 2nd  time you have done this to me. ruins cruise plans",-1
positive," okie doke! knowing you, you will fix this ;)",1
neutral, should i check in my awesome bag on my flight or carry it on... decisions...,0
neutral, i can't. i don't have acces to a phone rn. my iphone broke. :/ would rather change it now then late flightr.,0
negative, i can't do that flight. i need a late flightr one! i need you to change my flight. you guys changed it and now i can't do that time!,-1
positive,". wish you would make austin, tx a hub. missing you as my “only” airline for all my biz travel since i moved from bos. :(",1
neutral, just sent it,0
neutral, a little vino wouldn't hurt 🍷,0
neutral, airways receives new coverage from analysts at bank of america (jblu) - the legacy ,0
positive, crisis averted! flight  from bos to fll is boarding. let's hope the new pilots aren't clarence oveur and roger murdock. :-),1
negative, my bag is missing from 1099 landed over 6 hours ago. help!,-1
positive, thanks to julian at login for getting me onto an earlier flight back to dca,1
negative," apparently, the substitute pilots for flight  from bos to fll can't be found. no info is avail from the counter. how about you?",-1
negative, landed at mco before 9am and still don't have my bag. you were supposed to give it to disney's magical express this am.i am livid!,-1
neutral,'s ceo battles to appease passengers and wall street - waterbury republican american ,0
positive,not your fault  social media awesome people. i know everyone is working hard to get us in our way.,1
neutral," as requested, here's selfie somewhere over the rocky's.  ",0
neutral, short stop at jfk before iad,0
negative, flight 69 (ha!) - one employee said they were reassigned another said they just left. i just want some warm weather!,-1
positive, seems a few of my friends speak highly as well. now we just need to find a decent priced way to go from yvr to sea and overnight.,1
neutral, does  not take fraud as seriously?,0
negative," i want to add, my flight to mexico was on air canada. same exact situation, but with none of the problems i've had with jet blue.",-1
negative, you mean take more of my time to write you a physical letter because the fraud department doesn't have email or telephones. right?,-1
negative, capital one and i explained the false fraud alert. why did the jet blue representative issue me a new tkt if it wasn't resolved?,-1
positive, thanks,1
positive, then en route to the airport the rebooked ticket was refunded.,1
neutral,  repping the bruins in cleveland at rock n roll hof &amp; the christmas story house  ,0
negative," no, it didn't all work out. i called jet blue from mexico to address the fraud alert with capital one on the line. rebooked.",-1
negative, actually they said the fraud issue was never resolved. but why then did they issue me a new ticket of the phone?,-1
negative," i called jet blue to get an explanation, and make sure it would not happen in the future. i was told to write the fraud dept.",-1
positive, we made it safe and sound. thank you for the safe travels.,1
negative," when i arrived at the airport, i was told my ticket had been refunded because my name had a fraud alert.",-1
neutral, my card company and i explained the issue over the phone when i was in mexico. i purchased a new ticket over the phone.,0
negative, but jet blue had cancelled flighted my ticket &amp; never reissued it.,-1
neutral," my credit card company accidentally marked my jet blue tickets as fraud, then corrected their mistake and reposted the money.",0
negative," has screwed me over for the last time.  , glad to give you my business.  ",-1
negative, alternatives?  you have absolutely no respect for loyal customers.  8 years.  no more.  i'm done.,-1
neutral, any thoughts on waiver of change fees for travel out of boston this weekend?,0
negative, pooling and gifting are completely different.  i shouldn't have to be charged $375 to send points.  its disgusting.,-1
negative, why would you charge money to transfer points to someone?,-1
positive," flight attendant wendi on flt 127 on 2/17, newark to orlando.  👍👍",1
negative, doesn't help if i have to fly on specific days,-1
negative, it's noting about me i m perfectly fine it's the attitude and dealings with flyers. stubborn. demanding. unwilling to accommodate.,-1
positive, there's just so many choices for y'all south of the border and i know not every airline is equal - lowest price != best value. ;),1
neutral, just looking to arrange for a nice flight from sea to la-ish and comparing the cost to something more direct from yvr.,0
neutral, sent my suggestion and comments via the link provided..,0
negative, i am sharing it to the public. i fly 20 times a year and sitting now on the tarmac in fll. your staff is the worst i ever met.,-1
positive, i love you,1
neutral, ever consider coming to memphis?  need some trueblue service and fares badly!!,0
negative, what's up w flt 4? brothers fiancé sitting on board for 30mins w tech  issues.,-1
positive," be flying soon to nyc on your airline, of all airlines i've flown you're still  to me 😊😊😊✈️✈️✈️",1
negative, is giving us free movies because apparently the dunkin donuts coffee is a safety hazard.  ?,-1
negative, as long as someone remembers to put it on plane right? that was a really lame excuse.geez  can do much better ,-1
negative, what else could possibly take the place of coffee at that hour??hope pilot wasn't relying on aircraft for caffeine. ,-1
negative, what's up with lack coffee on 7:30am flight. was told someone forgot to load coffee onto the plane. what????? ,-1
positive," utah, i think. and thanks!",1
positive, thank you!,1
neutral, yes he and all the princesses. trying to get to the  at wdw.,0
positive,", never been delayed before; 533 to tpa out of bdl. better safe than sorry. 💙   ",1
negative," dont get me wrong i love flying with you. tv, free bags and descent fares. the recent plane problems are just annoying.",-1
positive, great flight and crew! flight 51 from bos to mco,1
negative, i appreciate that. when i flew with you in january the check engine light came on right before take off. now it is a computer.,-1
positive, that's why i love jetblue! ,1
positive," awesome, thanks! i'll give a call late flightr today. appreciate the help!",1
neutral," traveling w/ a rifle for a hunting trip, can a pistol be in the same large rifle case too? wasn't clear in freq asked questions",0
positive, thanks!! her 80th bday is saturday. we're having an aviation themed surprise party for her.,1
negative, hey guys! your flight booking problems system ran my first and middle names together at time of flight booking problems. is that going to be a  ?,-1
negative, - he cancelled flightled a flight &amp; was given 2 weeks to apply travel bank credit to another flight &amp; credit was transferable,-1
neutral, thanks! i just sent a few dms.,0
negative, how is travel bank credit issued by your company fraud - i acquired credit from family friend charles kravitz - see his account,-1
negative,talked to a  manager and she offered we pay 3x's in cash what we originally paid    ,-1
negative,.  😂😂😂😂😂omg. bored &amp; read through this convo.. seems like jetblue is on point.,-1
negative, cancelled flightling tickets for 3 best friends going on vacation and never told us     ,-1
negative, apparently the pilot had made some announcement about engine trouble and losing fuel too quickly.,-1
neutral," for my grandma ella's 80th, she would love a birthday greeting from your flight crew! she was a stewardess for eastern airlines.",0
negative, trying to charge us $550 dollars cash for tickets we paid for months in advance    ,-1
negative, please get service started at  and offer good routes lile florida upstate ny vegas etc,-1
negative," cancelled flightling flights, sending out tickets, then not telling the buyer...  how is that allowed?",-1
negative, i am here - what is your resolution?,-1
positive," best airline name ever. whenever i see it, i want to get on their plane to blue skies &amp; sea. (and they deliver on that promise)",1
positive, is gettin fancy!   nice work on the menu     ,1
negative, not making a great first impression on my first flight. 20 minutes before boarding and the gate agent still can't assign me a seat?,-1
negative, my flight 1318 is delayed and i am connecting from boston. is it possible to switch me to flight 118 so i can make my connection?,-1
negative, loves cancelled flightling tickets and not telling their customers ,-1
negative, tickets were confirmed and sent out. find out today that they cancelled flightled our tickets months ago and never sent an email ,-1
negative, would have been good to know months ago that you cancelled flightled our flights leaving tomorrow   ,-1
negative," rather than trying to resolve customer issues, only options offered were paying cash @ airport or write letter. ",-1
negative, i'm on flight and no booze being served 30 min in... what gives?   ,-1
negative, i've used you guys for 10 years but after this experience i will never ever use you again.,-1
negative, managers telling us to write a letter because we're upset about our tickets to leave tomorrow getting cancelled flightled without any notice,-1
positive, you guys are lucky i love you,1
negative, maybe stop telling people the wrong info on your customer service calls.,-1
negative," customer service was so bad updating my points, once i use my next points, i won't be flying you. point system is almost a sham.",-1
negative, ruining vacations left and right. who would have thought an airline can cancelled flight tickets without telling the buyer,-1
negative, better find a way to get me to puerto rico tomorrow morning besides charging us three times in cash what we originally paid,-1
negative, i spent over an hour of my morning on hold w/ your customer support. i want my confirmed flight to be taken care of,-1
negative,   does it look like to we talked to customer service? ,-1
negative," claims w/ customer protection they ""will notify customers of delays, cancelled flightlations and diversions.""  ",-1
negative," if there is a ""processing error"" the  why do you send out full flight tickets and confirmations? ",-1
positive, thank you will do!! you guy are awesome!,1
positive," no, but we're on the flight leaving from boston to seattle right now. :) flight 597",1
positive, definitely!,1
negative, tells me $130 paid &amp; confirmed flight will now cost me $566.80 cash only @ airport  22 hours before my flight   ,-1
positive, okay awesome! thank you!,1
negative," = worst. booked in oct. w/ email confirm &amp; never informed cancelled flightlation. instructed ""to mail written letter"" ",-1
negative," no, he didn't have more info. i was more infuriated by the way previous rep treated me. how she can possibly work as a jetblue rep?",-1
positive, i was so excited when i saw that you fly there! ,1
positive, ta off site at . should be a fun day.     ,1
positive, just mine sadly.. but yea the fly fi is awesome,1
negative, she hung up before i can get name. she took no accountability for keeping me on hold +20min. next rep was not able to track name,-1
positive, thank you!!,1
negative, the free wifi makes up for the television not working... it's staticy ,-1
negative, i have been on phone with rep for over 30 min and was transferred after asking not to be. she was the worse rep i ever had,-1
positive, ready to go to disneyworld!  for the   ,1
negative, how is it possible the only way to contact your fraud department is mailing a physical letter? no telephone? no email? really??,-1
neutral,  brazil to volunteer teaching english &amp; spanish to poor children so they have a skills to improve their chances of a better life.,0
negative, is flight 51 on 4/24/15 moved back? when i booked it said we arrive 11:31 but now it says 12:08 😢,-1
positive, thank you for the jetblue credit. nice save :-),1
neutral,  i would go back to aruba. i flew out of jfk.  ,0
positive,   loves this. have a great time flying this,1
negative, case making jackass out me we not allowed do favor say?get right care less!me no out of vacation now true see!am!peter scott,-1
neutral, i would go to dallas to see my grand baby that i miss so much. i feel like a piece of my heart is there.,0
negative, false - agent let us do an extra leg room upgrade for $ but not upgrade to mint. poor business practices. ,-1
negative, tried them not helpful. really dissatisfied with flight booking problems my whole trip with jet blue this time around besides the flights.,-1
positive," yes, with about 20 minutes to spare.  fyi - your employees are amazing.  keep up the good work!",1
negative, rqstd upgrade to mint at lax and was told no because i used points! why turn down $1600 bcz i used points? ,-1
neutral, when are you going to get wifi on your planes?,0
positive, oh yeah!!! great flight down to mexico with a wonderful crew!! thank you!!,1
neutral, how can we get help with a hotel we booked with you and are having issues with.,0
negative, trading customer experience for short term $$. so sad for this (previous?) loyal customer. ,-1
neutral, hi. just dm'd info,0
negative, flight 577  fll to sfo. no speed line even though i paid for it. no coffee on flight. and my non stop now has an unscheduled stop,-1
positive, thanks!,1
neutral, any concern about cancelled flightled flights due to the cold weather in nj saturday am? do you cancelled flight at 0 degrees?,0
negative, why wasn't a $15 service credit voucher i received for tv not working accepted on my next flight for a pillow?,-1
neutral," gains altitude, but skywest hits turbulence jblu skyw - investor's business daily ",0
positive, good morning sunshine!  ,1
positive, where's my selfie?,1
negative,'s ceo battles to appease passengers and wall street -  ,-1
positive, airways reveals 'bluemanity' livery - travelpulse ,1
neutral, unveils new 'bluemanity' livery - usa today ,0
neutral, marks 15th year with 'bluemanity' plane design -  ,0
positive, haha thanks jetblue👌☺️,1
neutral, could i get a free flight to vegas since it's my bday😏☺️,0
neutral," im flying with you from mi-boston and then icelandair to iceland, 8 hours between. can we check our bags all the way?",0
positive,i know you have a lot of baggage... but i want you to know i really enjoyed being inside you.  ,1
negative, every crew member i dealt with in orlando was incredibly rude. i'm actually pretty disgusted with jetblue right now.,-1
positive, thank you so much!  i wasn't sure since in know the limit is 4 ozs. excited to fly with jetblue!,1
negative, is it your standard protocol to call security onto a plane for a crying baby?,-1
negative, finally starting to come out. 40 minutes and no communication is not acceptable. letting me down today.,-1
negative, found someone to ask. no answers. landed almost 40 minutes ago.,-1
positive,"hey , that's a sexy tattoo you got there on your left engine.  ",1
negative, flight 1951. bags haven't come and we landed 30 minutes ago.,-1
positive, thanks to o stbernard for taking time to read through page to find info as supervisor felt to insist tho i showed previous comm,1
negative, gnight checked in at pos &amp; supervisor was unaware of policy. that sucked having to guide him to the internet. he was v unfriendly,-1
positive, jua at jfk 'just ask' desk was incredibly helpful! thanks!,1
negative," 2 hour delay while sitting on the plane and you still wanna charge me for beer? nah, i'm good.",-1
neutral, can you tell me which days you fly direct buf - fll and fll - buf?,0
negative," your customer services agent jorge at orlando international is rude and disrespectful, i never want to deal with your bullshit ever",-1
neutral, i cri,0
positive,  please just tweet this🙏🙏❤️ i fly jetblue every time btw😏,1
neutral, can you do me a huge favor?!🙏❤️,0
neutral, are you my friend?!,0
negative," if it was simply a minor mechanical, why would they say that?",-1
negative, can you tweet  to get the word out?😢,-1
negative," my mother had overheard a personnel ask the attendant if ""the passengers really knew what was going on"" and the attendant said no.",-1
positive," btw, her name was samantha and she won over everyone on the flight",1
negative, what happened w/ from bos-san? my mother is onboard &amp; the crew was evasive as to why they had to return to bos the first time.,-1
neutral,“:  jetblue relate flightd this time? ;)” no... but why won't school be cancelled flighted? it's very cold out,0
positive, i will! thank you!,1
negative, it says it is now 9:58 you owe me,-1
negative, i want you to pay for my parking fee at orlando airport because your app told me my moms flight landed at 9:19 and it lied,-1
positive, u cool,1
positive, amazingly awesome customer service from your reservation agents tonight. helping correct a mistake. i so love this airline. :),1
positive," the 13th annual martha's vineyard african american film festival  august 10-15, 2015   our attendees deserve a great flight to mv??",1
neutral, is yr site having trouble for mobile check in ?,0
negative, they told us 10 minutes almost 40 minutes ago.,-1
negative," 1472, fll to lga. this is getting old. 4th  flight in 2.5 weeks, 4th significant delay.",-1
negative, i just submitted feedback for you . not a good way 2 handle baggage or customers: ,-1
positive,  love it. they're cute,1
neutral, there's a large family of birds inside t5. are they fed? are they there for a purpose?,0
neutral, sure thing!,0
neutral, works with google  but not internet explorer.,0
negative," i was believing you for a minute, but we just got delayed for a 3rd time!",-1
neutral," if there's a schedule change on my tix, can you change the the destination airport to a sister airport (like ewr and jfk)?",0
negative, delay = perfect time to learn swift programming with ,-1
neutral, statement on  incentive offer - digital journal ,0
positive, the best airline in the world,1
positive, i would go anywhere jetblue goes.,1
neutral, anywhere!! ,0
positive, wow you guys answer people wow you care i love jet blue,1
positive, thanks. i appreciate your prompt response.,1
negative," i put it my ""to"" and ""from"" airports, click update and it tells me to put in my ""to"" and ""from"" airports.",-1
negative," why doesn't your ""best fare finder"" work?",-1
neutral, to dc this summer and help local youth get ready to return to school with math refresher courses. ,0
positive, good luck. thanks.,1
positive,"it really is nice, though. the snack fridge…that you can just get up and take stuff out, like a dorm common room, is genius. ",1
neutral,"currently on , my new robotic love-doll. reminded heavily of 's bit about them-hence an excuse to say ""huxleyesque.""",0
negative, third jetblue flight in less than a week. all late flight not for weather.  reliability going downhill.,-1
neutral, i have many allergies and want to know if i can bring an 8oz. bottle of benadryl on the flight along with my 2 epipens?,0
negative, this is how you have me feeling.... ,-1
negative, why is the buffalo flight so late flight?,-1
neutral,  anywhere... away from this snow globe to warmth sand and palm trees..,0
negative, u suck big donkey balls!,-1
neutral, any good deals for march?! looking to fly to orlando!,0
positive," if i tell you i like that  pick, will that get me that bump to first class? :)",1
neutral,     seetonight ,0
negative, waiting for flt 105 to chicago. why hasn't aircraft left buffalo yet?,-1
negative, i don't think i'll be testing those waters out on my own dime again.,-1
negative, c'mon now. my flight's delayed annnnnd you can't give me a pick?!? i'm about to tweet at  or  .......,-1
negative, flight is 100% full.,-1
neutral, client is asking if kids need their own email addresses to get tb acct. is this true?,0
negative, walked down the hall to carousel 8...found all bags sitting there. still no words from crew...signage still not updated,-1
negative, headphone jack not working on my flight.,-1
neutral," it's absolute madness in the west, but tell me who you like between    and ",0
negative, tried...considerable confusion...no announcement...no sign updates,-1
negative,  what's up with luggage for flt 790 dca-bos?  pax waiting for 30 min for bags...no show. carousel 6 signs not updating.,-1
neutral," thx for the pointer, but im good with the big monitor.  any advice on who i should pick to come our of the western conf (nba)?",0
negative, i had 2 fight 2 get a credit for the value of my bag but i got it.     ,-1
neutral, airways corporation (jblu) loses -0.06% on news that  airways ... - wallstreet scope ,0
negative, they did not have any &amp; asked if i wanted tea. how do you have tea&amp;not coffee? i'm a gold on united &amp; coffee i nvr think 2x about,-1
negative, : ur wed bwi-boston flights (8pm) really need to be better scheduled! they are almost always delayed!,-1
positive, i'll pass along the advice. you guys rock!!,1
negative, i'd fly to an airline who actually gave a crap about its fliers outside of generic apologies. jet blue is terrible ,-1
neutral, 6am austin to jfk,0
negative, the big board says we aren't leaving until after 8:30 😩,-1
neutral, he's sch for 530 tmw on aa. would love to find him an earlier one with yall if possible. he's in fll,0
negative, while i appreciate that you actually responded i travel way too much for you to tell me coffee is not a basic option,-1
negative,", my dads vacation to sxm got delayed a day because of  shoddy service. earliest fll &gt; sxm flight? trying to hep him out",-1
negative, i did not report the updated info - don't know how to reach them without a super long wait on hold at your main number.,-1
positive," i can't say what airline i am on right now, but i sincerely miss you. ",1
negative, whoa! no tag and you still saw my tweet. flight 105 jfk to chicago. trying to get home to see my little brother wrestle!,-1
neutral, airways corporation price target update - stafford daily ,0
neutral, i would go to italy to visit my relatives and see the house my dad left when he passed.,0
neutral, i'd go to australia to enjoy the land down under! always been on my bucket list! ,0
neutral, hi! is it possible to upgrade to a mint seat on an already booked ticket? thanks!,0
neutral," left my coat on flight 453 this morning in overhead bin.  reported seat 12a, but i was 11a.  thx.  ticket 2792125083854",0
neutral, my daughter's college game in denver.  only one set of parents will be there 😢😢😢,0
positive, ok. i'll book jb to jfk then book to ath. thank you.,1
neutral, need flight to ath from pdx. do you coordinate with other airlines?,0
negative, so why do you put this at the bottom of ur baggage report? for fun?    ,-1
negative," if u want to be helpful save me the trip from westchester cty to jfk, plus parking - my info is in the photo ",-1
positive, yes that's true but they are a bit pricey i will look into it further. love you guys.,1
negative, i am heading to jfk now just on principle alone to deal w my lost &amp; damaged bag.     ,-1
negative, u now have my gears grinding. the jfk baggage office told me i need to bring the bag back right now if not they will close my claim,-1
neutral, do you sell open tickets? i have a sick relative and may have to travel at a moments notice. sad but true.,0
positive," i flew to san francisco from fort lauderdale with you last year, had a fantastic time so would like to go back !",1
negative, u say our safety is our highest priority but that doesn't extend 2 our property? this is totally nuts. ,-1
neutral, to allow payment by  pay - patriarc ,0
positive," my  affects just one small family of four, but it would make a huge difference in their life.",1
negative, glad u happy i have my bag but as a traveler i entrusted u w/ my property &amp; u return it damaged &amp; that's the best answer u have?,-1
neutral," i'd go to portsmouth, nh to take care of my friend's son while she takes her daughter to boston for surgery.  ",0
negative, is the worst. i have to postpone my trip and they can't accommodate guests like  ,-1
positive, hawaii! get me somewhere warm &amp; i can find some good to do. ,1
positive,". thx for confirming! again, yr team is awesome. thanks for the prompt &amp; helpful response! cheers to less snow in everyone's future",1
negative, pr-friendly tweets don't help drive accountability. hope mr. hayes takes note.,-1
positive, what a great idea! ,1
positive, i would go to las vegas. it is gorgeous and i go there every year and i fly with you guys vegas is gorgeous &amp; so much to do there.🌴,1
neutral," i like marie harf go to iraiq find isis and spread good, and offer resume service to isis in order to find jobs ",0
neutral,"  i'd fly to port au prince, haiti to help with the on-going earthquake relief efforts. still lots to do there!",0
positive, just dmed. thanks so much for addressing this so quickly.,1
positive, done! also looks like you opened some up on my flight to vegas on sunday! 💙,1
neutral, says  incentive offer to have no impact on share count - nasdaq ,0
negative, only wish your ground operation was as expedient as your twitter response team! delay just got extended!,-1
negative, only w/ $70 upgrade. unsure why she can't just switch someone around. i called 24 hrs in advance for this reason.,-1
neutral, can you dm?,0
negative, keeps asking me to enter a valid email address. my info is saved and has worked hundreds of times before,-1
neutral, is the trueblue site broken at the moment?,0
neutral, any ems window seats on 1099 tomorrow?,0
neutral, airways corporation registers high short interest - wall street pulse ,0
neutral, any chance you will by this summer?,0
neutral, do you have mint service from nyc to san diego?,0
negative, can't change it. true blue points and i can't get to a phone,-1
neutral," my mom wanted me to change her seat along with my sister, but their two different reservations and idk",0
positive, aw okay thanks,1
neutral, i can't pay 30 bucks xd,0
positive, best seat on a e190 to board early. ready. set. go!,1
neutral, is it true there's a new a320 livery and a new website...?!,0
negative, should've been on one of your flights instead...  has now lost our bags to add insult to injury,-1
positive, i'm all set. about to fly. not bad for a first date with a giant metal bird machine. she even brought snacks.,1
negative, i'm trying to add my 2012 flights to my badges account but i don't see an option. help plz?,-1
positive, okay. the new screens are laptop-large &amp; real nice &amp; the wifi is appreciated. thanks god for this tiny lil man in the middle seat.,1
negative," i cheated on you, and i'm sorry. i'll never do it again.  has given my wife and i the worst start to a honeymoon ever",-1
neutral, this feels nice - what we've got going on here. let's just swap me out with the fool in 5a and we can make it all better.,0
neutral," yes, but it hurt my feelings to walk by mint. a fella can dream. ",0
neutral,  dont talk about my friend  like that. ,0
positive," incidentally, sheila at jfk deserves a raise because she's awesome.",1
neutral," i'd like to spread my grandpa's ashes in naples, italy he lived in the 50's while serving his 30+ yrs in the  ",0
positive, i deleted that tweet because one of your wonderful employees swooped in to help--faith restored. you are one of the good ones. 👍,1
neutral, statement on  incentive offer - stockhouse ,0
negative, lots of people scratching heads and looking at screens ignoring passengers,-1
neutral, i thought the same thing after i sent it,0
negative, what's going on with 1171 lga-fll..poor to no communication from gate agents??,-1
negative," fyi - your android app is set to not be applicable with the nexus 6 - please fix (its a phone, not a tablet). cheers!",-1
neutral, order  (3/3),0
negative," our  community. if you want our continued loyalty, you need to do better than that. perhaps some training is in (2/3)",-1
negative," insensitive?  are life-threatening. unsolicited uneducated opinions are inappropriate, reckless &amp; dangerous to (1/3)",-1
neutral, thanks for the fb. message telling me i will have to wait between 1-3 days.  i'm waiting.,0
neutral, airways sees significant decline in short interest (jblu) - wkrb news ,0
neutral," plans to offer direct flights from  to ,  starting next .… ",0
neutral, thank you for opening the conversation.  i hope you can make it right.,0
neutral, when i checked yesterday it looked like it did. did something change?,0
negative, oh no! i thought it did. :(,-1
neutral,'s ceo battles to appease passengers and wall street - waterbury republican american ,0
neutral, 1951 bos to ord,0
positive, thanks. line moved quick. already done.,1
neutral, i do follow you!,0
negative, nope. none to be found,-1
negative, i may need to. i had a 40 minute layover and now have a 15 min delay on my first flight.,-1
negative," i may not make my connection and need to find out my options, yet no one is here.",-1
neutral, nope. currently sitting at my gate.,0
positive, their names are both angel (seriously - how cool is that!). truly fantastic service!,1
negative, extra-speed line closed in tampa. what gives?,-1
neutral, i sent you an email,0
positive, thank you :-),1
positive, thanks!,1
positive," also. emergency exit seats. 6'2"" and that's a huge win.",1
positive," friendly, engaging, personable, handled clarifying questions about baggage fees well, and took an interest in what i was doing.",1
neutral, so i don't know confirmation number or the names of the flight attendants and supervisor,0
negative, would love to respond to link but supervisor tore ticket up and refused to give me names and hid her badge from me,-1
positive," hey, so, dre at seatac check in needs a raise, stat. dude gave me amazing customer service and made me feel valued. 👍",1
negative, you respond to my friend  but you can't respond directly to me,-1
neutral,"'s ceo  among ardent fans, wall street - poughkeepsie journal ",0
positive, the magic eight ball has never steered me wrong  :),1
negative, you wanna help out? how about you reimburse the money you cause my band to lose.,-1
negative, but you guys should know that musicians are very sensitive about the safety of their instruments when flying. for good reason.,-1
negative, ask  but i teach marketing at a university and will gladly consult on customer service and how not to treat passengers.,-1
negative, loves to respond to positive tweets but they ignore problems w/ customers. just ask nola musician  about that. ,-1
neutral,  i'm game if you're buying!!  ;),0
positive, will do. thanks!,1
positive," marks 15th year with new ""bluemanity"" plane design - sun sentinel ",1
negative, call was not made by the inflight crew. they in fact asked us why we didn't bring it on.,-1
negative, last week i bought a plane ticket round trip to fl &amp; just 4 fun i look at the price of them today and they went down! ,-1
positive, you're welcome 👍👍👍 ,1
neutral, are you ever looking for interns ?,0
positive, is the greatest airline ever 💕✈️💺  ,1
positive, 's free wifi on board is the best thing that's happened since sliced bread,1
negative, only middle seats. sfo -&gt; bos. not fun. she keeps getting $10 credits. would much rather have a working tv.,-1
negative, disappointed we weren't allowed to bring on an aircraft approved carseat on an empty plane. not cool.,-1
positive, beatriz and susan. gate 4 mco.,1
positive,. handled 's question like social media pros. good practice for when our transportation systems are all run by friendly ais!,1
negative, maybe have a supervisor find out why the international checkin at ftl hasn't moved in 20 minutes yet employees picked up 100 pizza,-1
negative, third flight in a row for my wife with her tv not working...,-1
positive, its a wonderful thing!,1
negative, what is a personal email that i can contact? i have a complaint that you should know about,-1
negative, what's up with website can't access flight info,-1
neutral, just a thought!,0
positive, flight booking problems flights for a dc visit for easter weekend started difficult but ended well with you guys! big fan here. :),1
neutral, i’m getting an “it depends” vibe. fair enough!,0
positive,  thank you! seattle and  here we come!  ,1
positive,   i know that bar :)  wish i was there now!,1
positive, had a great flight to orlando from hartford a few weeks ago! was great to get out on time and arrive early!,1
neutral, to increase charter service to cuba -  agent ,0
positive, you guys continue to impress. your crew @ mco gate 4helped our family with seat issues. ,1
positive, loving the free  and  ✈️ ,1
negative," you are missing the point. the flight left an hour late flight. why are you allowed to be that late flight, and still charge me $50 and 10hrs?",-1
neutral, can i get some more leg room tonight b6 304,0
